,Symbol,Date,Walrasian Price
784,HAT,901206.0,inf
785,UTD,910114.0,inf
786,LPX,910124.0,28.75
787,NIC,901127.0,7.125
788,PRI,901231.0,14.0
789,DBD,910125.0,35.125
790,REC,910123.0,5.125
791,CL ,901226.0,74.375
792,FFB,910116.0,14.75
793,TUG,901130.0,6.5
794,ZIF,901119.0,4.75
795,ARX,901128.0,1.625
796,HTR,901101.0,9.5
797,EMC,901203.0,8.25
798,GLX,910118.0,32.5
799,SNT,910128.0,42.5
800,PH ,901123.0,inf
801,CMY,910108.0,27.125
802,CP ,910124.0,17.375
803,UEP,901115.0,28.625
804,GRH,901102.0,3.0
805,PCO,901113.0,18.75
806,BRT,910114.0,inf
807,PRI,901119.0,13.125
808,T  ,910102.0,29.875
809,LUK,901220.0,22.25
810,CP ,901218.0,17.5
811,ZNT,901207.0,inf
812,SPF,901224.0,5.625
813,Y  ,901113.0,80.5
814,CAL,901219.0,3.125
815,TEK,910125.0,19.375
816,MON,901210.0,0.75
817,AR ,901217.0,26.625
818,RPS,901113.0,inf
819,COA,901113.0,8.0
820,AYD,901203.0,12.875
821,PEO,901228.0,25.5
822,PIR,901109.0,3.75
823,IS ,910115.0,inf
824,RDA,910111.0,27.25
825,POM,901206.0,20.625
826,HAN,910111.0,17.5
827,GE ,910124.0,58.375
828,IEI,901220.0,inf
829,PIM,901211.0,6.875
830,ALL,901213.0,9.125
831,CMH,901107.0,13.0
832,MRT,901213.0,3.0
833,MCN,910116.0,20.625
834,WBN,901224.0,10.625
835,MON,910121.0,1.875
836,OCQ,910125.0,inf
837,DI ,901107.0,19.125
838,CLF,901127.0,inf
839,NSP,910118.0,32.875
840,FLP,901121.0,inf
841,FFB,901121.0,inf
842,RPS,910104.0,5.5
843,GBE,901102.0,1.125
844,NI ,901203.0,19.0
845,CMI,910128.0,inf
846,DI ,910115.0,19.5
847,GRH,901107.0,3.0
848,VCC,901221.0,inf
849,EHP,901207.0,0.3125
850,CYR,910103.0,31.0
851,AMD,901213.0,4.875
852,WBN,901212.0,9.75
853,CLF,901130.0,23.75
854,W  ,901205.0,27.375
855,EFG,901227.0,inf
856,KWD,901226.0,inf
857,DLT,901212.0,inf
858,AMD,901130.0,4.125
859,VCC,901126.0,1.25
860,BA ,901214.0,45.0
861,IPT,910114.0,16.375
862,FNM,901130.0,30.75
863,REC,910117.0,5.0
864,FPC,901206.0,38.125
865,FDX,901212.0,32.375
866,KFV,901115.0,11.0
867,ZIF,901101.0,4.875
868,PPL,901127.0,42.75
869,ARX,901126.0,1.625
870,HTR,901115.0,9.875
871,WBN,901120.0,9.875
872,WIN,901206.0,35.0
873,GBE,901231.0,1.125
874,CYM,910122.0,18.5
875,SPF,910111.0,5.5
876,BG ,901221.0,23.375
877,XON,901112.0,50.125
878,SJI,901204.0,inf
879,HE ,901207.0,40.0
880,BA ,901105.0,46.0
881,KR ,901211.0,13.25
882,EKO,901214.0,3.0
883,BA ,910129.0,47.375
884,FNM,910129.0,38.25
885,KR ,901107.0,inf
886,T  ,910104.0,30.0
887,MDP,910111.0,inf
888,ITG,910108.0,0.125
889,COA,901204.0,3.875
890,PPL,910128.0,44.0
891,WCS,901109.0,19.25
892,TXI,901206.0,13.0
893,KFV,901205.0,11.75
894,SAH,910125.0,3.75
895,FDX,901108.0,33.125
896,T  ,901214.0,30.625
897,SLB,910109.0,53.0
898,AR ,901203.0,25.75
899,IEI,901123.0,inf
900,HFI,910128.0,9.875
901,KR ,910131.0,17.125
902,DP ,910118.0,inf
903,AYD,901213.0,13.375
904,NSP,901123.0,32.0
905,FLP,910116.0,1.25
906,NSP,901120.0,31.875
907,BRT,901112.0,2.875
908,NIC,910109.0,inf
909,WCS,901114.0,18.5
910,WHX,901123.0,4.125
911,WIN,910108.0,30.25
912,CMY,901105.0,26.75
913,CYR,901119.0,28.375
914,SLB,901212.0,53.0
915,PMI,910117.0,17.625
916,PIM,901119.0,6.75
917,CPY,901127.0,inf
918,WCS,901207.0,20.25
919,HAT,910110.0,inf
920,IS ,901226.0,inf
921,MC ,901206.0,133.5
922,RPS,910102.0,5.5
923,OEH,901116.0,2.5
924,CPC,901106.0,78.75
